"ROK","ICP","ICO","NACE"
2022,119811172,28510011,"353010"
2022,119811182,28510011,"353010"
2022,119811202,28510011,"353010"
2022,119811212,28510011,"353010"
2022,119811262,28510011,"353010"
2022,119811272,28510011,"353010"
2022,119811282,28510011,"353010"
2022,119811292,28510011,"353010"
2022,119811302,28510011,"353010"
2022,119811312,28510011,"353010"
2022,119811332,28510011,"353010"
2022,119811352,28510011,"353010"
2022,119811382,28510011,"353010"
2022,119811392,28510011,"353010"
2022,119811402,28510011,"353010"
2022,119811412,28510011,"353010"
2022,119811422,28510011,"353010"
2022,119811432,28510011,"353010"
2022,119811442,28510011,"353010"
2022,119811452,28510011,"353010"
2022,119811462,28510011,"353010"
2022,119811492,28510011,"353010"
2022,119811502,28510011,"353010"
2022,119811522,28510011,"353010"
2022,119811532,28510011,"353010"
2022,119811542,28510011,"353010"
2022,119811552,28510011,"353010"
2022,119811562,28510011,"353010"
2022,119811572,28510011,"353010"
2022,119811582,28510011,"353010"
2022,119811592,28510011,"353010"
2022,119811602,28510011,"353010"
2022,119811612,28510011,"353010"
2022,119811632,28510011,"353010"
2022,119811642,28510011,"353010"
2022,119811652,28510011,"353010"
2022,119811662,28510011,"353010"
2022,119811672,28510011,"353010"
2022,119811692,28510011,"353010"
2022,119811732,28510011,"353010"
2022,119811742,28510011,"353010"
2022,119811752,28510011,"353010"
2022,119811772,28510011,"353010"
2022,119811782,28510011,"353010"
2022,119811792,28510011,"353010"
2022,119811802,28510011,"353010"
2022,119812042,24832502,"682020"
2022,119812062,14983338,"353020"
2022,119812322,507351,"682020"
2022,119812332,24738875,"612090"
2022,119812352,27144020,"452000"
2022,119812382,26140217,"451100"
2022,119812452,45308314,"471100"
2022,119812462,45308314,"471100"
2022,119812472,45308314,"471100"
2022,119812542,49240960,"682000"
2022,119812602,26116936,"551010"
2022,119812632,67779999,"841100"
2022,119812802,67779999,"841100"
2022,119812852,15890554,"473000"
2022,119813122,67779999,"841100"
2022,119813262,45308314,"471100"
2022,119813282,45792054,"353000"
2022,119813302,28484126,"682020"
2022,119813322,25115171,"353010"
2022,119813332,28484126,"682020"
2022,119813372,28484126,"682020"
2022,119813382,28484126,"682020"
2022,119813392,28387252,"683200"
2022,119813402,18628966,"683200"
2022,119813422,23337,"900100"
2022,119813432,64949681,"612030"
2022,119813502,27164829,"353010"
2022,119813512,27164829,"353010"
2022,119813562,26202808,"353010"
2022,119813742,28483553,"682000"
2022,119813822,63986752,"853200"
2022,119813832,27609383,"551010"
2022,119813912,25115171,"353010"
2022,119813922,25115171,"353010"
2022,119813972,49707701,"432200"
2022,119814282,26178559,"452000"
2022,119814402,28199448,"682020"
2022,119814412,28199448,"682020"
2022,119814422,24832502,"682020"
2022,119814432,24832502,"682020"
2022,119814442,24832502,"682020"
2022,119814462,27440150,"682020"
2022,119814642,1807935,"683200"
2022,119814652,1807935,"683200"
2022,119814662,1807935,"683200"
2022,210100532,27096858,"015000"
2022,210100722,60193531,"521000"
2022,210100922,49968076,"107100"
2022,210101012,47535865,"360000"
2022,210101562,69797111,"841100"
2022,210101742,27135004,"109100"
2022,210102042,61664651,"853220"
2022,210102422,49452011,"081200"
2022,210102572,26207451,"467100"
2022,210102752,18620442,"853210"
2022,210103402,43792553,"421100"
2022,210103622,45144290,"284100"
2022,210104402,47534826,"452000"
2022,210104672,70890293,"855990"
2022,210105322,60193531,"521000"
2022,210105662,46349197,"259400"
2022,210106072,47538902,"293200"
2022,210106092,45147698,"261100"
2022,210106132,46356886,"412000"
2022,210106682,48038687,"473000"
2022,210106912,25777769,"353020"
2022,210107142,48026590,"222200"
2022,210107312,67940714,"351100"
2022,210107692,48950726,"257300"
2022,210107932,47535865,"360000"
2022,210144532,25110161,"471100"
2022,210144602,46357343,"015000"
2022,210144622,26487985,"731100"
2022,210144692,48038687,"473000"
2022,210144762,25137026,"236300"
2022,210144782,49452011,"081200"
2022,210144802,45793964,"282900"
2022,210170022,75151481,"842400"
2022,210170072,48038687,"473000"
2022,210170132,47543655,"382100"
2022,210170432,47048522,"015000"
2022,210170442,28510011,"353010"
2022,210170452,28510011,"353010"
2022,210170472,46356142,"014600"
2022,210170512,65048,"910200"
2022,210170532,24818283,"473000"
2022,210170542,27164829,"353010"
2022,210200052,47551992,"473000"
2022,210200112,60193531,"521000"
2022,210200122,60193531,"521000"
2022,210200132,27902455,"682000"
2022,210200162,75009897,"873010"
2022,210200292,26730758,"251200"
2022,210200312,26688981,"243200"
2022,210200332,61465569,"081100"
2022,210200342,61465569,"081100"
2022,210200352,47544384,"862100"
2022,210200392,20478,"841100"
2022,210200412,47558415,"853220"
2022,210200432,69797111,"841100"
2022,210200442,48038687,"473000"
2022,210200452,46349014,"293100"
2022,210200592,60838744,"421100"
2022,210200632,61683426,"236500"
2022,210200652,45078904,"473000"
2022,210200762,28512090,"462100"
2022,210200782,45148082,"462100"
2022,210200822,46351434,"221100"
2022,210200842,43763081,"310900"
2022,210200902,47515767,"853110"
2022,210200982,47114983,"531000"
2022,210201542,14762838,"256100"
2022,210201562,48038687,"473000"
2022,210201582,48038687,"473000"
2022,210202272,103004,"015000"
2022,210202292,46350420,"282500"
2022,210202312,26205521,"259400"
2022,210202452,40743187,"236300"
2022,210202522,49551272,"236300"
2022,210202732,27994961,"236400"
2022,210202762,233579,"841100"
2022,210202992,25110161,"471100"
2022,210203002,26209578,"235100"
2022,210270022,45193410,"353010"
2022,210270042,67290108,"024000"
2022,210270082,49824082,"222900"
2022,210270122,27459098,"107100"
2022,210270202,61465569,"081100"
2022,210270222,27892638,"236300"
2022,210270242,26122219,"182000"
2022,210270272,24242438,"181200"
2022,210300042,20681,"841300"
2022,210300142,12229385,"181200"
2022,210300162,64211,"861000"
2022,210300172,25656635,"360000"
2022,210300232,40612724,"172900"
2022,210300302,44012373,"471100"
2022,210300432,48950670,"107200"
2022,210300452,49823574,"473000"
2022,210300472,49823574,"473000"
2022,210300502,60193531,"521000"
2022,210300552,62579657,"473000"
2022,210300582,49823574,"473000"
2022,210300592,63983222,"081200"
2022,210300612,47052945,"422100"
2022,210300712,25639641,"293200"
2022,210300732,62958887,"353010"
2022,210300742,62958887,"353010"
2022,210300752,62958887,"353010"
2022,210300762,62958887,"353010"
2022,210300782,62958887,"353010"
2022,210300822,515,"331600"
