"KOD","TEXT"
"854200","Terciární vzdělávání"
"855200","Umělecké vzdělávání"
"855900","Ostatní vzdělávání j. n."
"855990","Jiné vzdělávání j. n."
"856000","Podpůrné činnosti ve vzdělávání"
"861000","Ústavní zdravotní péče"
"862100","Všeobecná ambulantní zdravotní péče"
"862200","Specializovaná ambulantní zdravotní péče"
"869000","Ostatní činnosti související se zdravotní péčí"
"869010","Činnosti související s ochranou veřejného zdraví"
"869090","Ostatní činnosti související se zdravotní péčí j. n."
"871000","Ústavní ošetřovatelská péče"
"872010","Ústavní sociální péče o mentálně postižené osoby"
"873000","Ústavní sociální péče o seniory a zdravotně postižené osoby"
"873010","Ústavní sociální péče o seniory"
"873020","Ústavní sociální péče o zdravotně postižené osoby"
"879000","Ostatní ústavní sociální péče"
"881000","Mimoústavní sociální péče o seniory a zdravotně postižené osoby"
"889900","Ostatní mimoústavní sociální péče j. n."
"889920","Sociální prevence"
"900100","Scénická umění"
"900400","Provozování kulturních zařízení"
"910100","Činnosti knihoven a archivů"
"910200","Činnosti muzeí"
"910300","Provozování kulturních památek, historických staveb a obdobných turistických zajímavostí"
"910400","Činnosti botanických a zoologických zahrad, přírodních rezervací a národních parků"
"910410","Činnosti botanických a zoologických zahrad"
"920000","Činnosti heren, kasin a sázkových kanceláří"
"931100","Provozování sportovních zařízení"
"931200","Činnosti sportovních klubů"
"931900","Ostatní sportovní činnosti"
"932100","Činnosti lunaparků a zábavních parků"
"932900","Ostatní zábavní a rekreační činnosti j. n."
"941100","Činnosti podnikatelských a zaměstnavatelských organizací"
"941200","Činnosti profesních organizací"
"949100","Činnosti náboženských organizací"
"949200","Činnosti politických stran a organizací"
"949900","Činnosti ostatních organizací sdružujících osoby za účelem prosazování společných zájmů j. n."
"949910","Činnosti organizací dětí a mládeže"
"949930","Činnosti organizací na podporu rekreační a zájmové činnosti"
"951100","Opravy počítačů a periferních zařízení"
"960100","Praní a chemické čištění textilních a kožešinových výrobků"
"960300","Pohřební a související činnosti"
"960400","Činnosti pro osobní a fyzickou pohodu"
