"Ukazatel","IndicatorType","Pohlaví","POHL2","Roky","CasR","ČR, Reg. soudržnosti, Kraje","Uz012","Hodnota"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Plzeňský kraj","CZ032","551528"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Karlovarský kraj","CZ041","304274"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Ústecký kraj","CZ042","823173"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Liberecký kraj","CZ051","429031"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Královéhradecký kraj","CZ052","548368"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Pardubický kraj","CZ053","506024"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Kraj Vysočina","CZ063","510767"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Jihomoravský kraj","CZ064","1130358"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Olomoucký kraj","CZ071","639161"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Zlínský kraj","CZ072","590142"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Moravskoslezský kraj","CZ080","1250769"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Česko","CZ","10287189"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Praha","CZ01","1188126"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Střední Čechy","CZ02","1175254"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Jihozápad","CZ03","1184543"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Severozápad","CZ04","1127867"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Severovýchod","CZ05","1488168"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Jihovýchod","CZ06","1644208"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Střední Morava","CZ07","1229733"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Moravskoslezsko","CZ08","1249290"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Hlavní město Praha","CZ010","1188126"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Středočeský kraj","CZ020","1175254"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Jihočeský kraj","CZ031","630006"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Plzeňský kraj","CZ032","554537"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Karlovarský kraj","CZ041","304602"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Ústecký kraj","CZ042","823265"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Liberecký kraj","CZ051","430774"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Královéhradecký kraj","CZ052","549643"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Pardubický kraj","CZ053","507751"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Kraj Vysočina","CZ063","511645"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Jihomoravský kraj","CZ064","1132563"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Olomoucký kraj","CZ071","639894"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Zlínský kraj","CZ072","589839"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2007","2007","Moravskoslezský kraj","CZ080","1249290"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Česko","CZ","10381130"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Praha","CZ01","1212097"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Střední Čechy","CZ02","1201827"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Jihozápad","CZ03","1194338"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Severozápad","CZ04","1138629"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Severovýchod","CZ05","1497560"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Jihovýchod","CZ06","1654211"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Střední Morava","CZ07","1232571"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Moravskoslezsko","CZ08","1249897"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Hlavní město Praha","CZ010","1212097"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Středočeský kraj","CZ020","1201827"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Jihočeský kraj","CZ031","633264"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Plzeňský kraj","CZ032","561074"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Karlovarský kraj","CZ041","307449"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Ústecký kraj","CZ042","831180"
